celltype,subtype,Leiden,Dotplot Groups,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Blood,Erythroid,15,F,Hbb-y,Hba-a1,Hba-x,Slc4a1,Hbb-bt,Nudt4,Kel,Hbb-bs,Fth1,Hba-a2,Ermap,Hbb-bh1,Pabpc1,Epb41,Slc20a1,Fech,Abcb10,Spta1,Creg1,Prdx2,Slc25a37,Alas2,Cd59a,Tmcc2,Pkhd1l1,Ftl1
Blood,Erythroid,20,F,Hba-a1,Hbb-bs,Hbb-bt,Hba-a2,Alas2,Tent5c,Fech,Snca,Bpgm,Ube2l6,Slc25a37,Mkrn1,Epb41,Oaz1,Hbb-y,Pabpc1,Rsad2,Bnip3l,Hba-x,Slc4a1,Ftl1,Gm42418,Slc25a39,Ucp2,Gpx1,Cd24a
Blood,Erythroid,24,,Tpbpa,Hbb-y,Sparc,Hba-a1,Col4a1,Afp,Gm42418,Actb,mt-Co3,Hba-x,H19,Eef1a1,Prl3b1,mt-Atp6,mt-Co2,Col4a2,mt-Co1,Actg1,Col1a1,Sct,S100a6,mt-Cytb,Col1a2,Nrk,Ctla2a,Gpx3
Blood,Erythroid,33,,Cbs,Rmst,Far2os1,Atp2b2,Cdkl1,Unc5cl,Ovgp1,Hbb-y,Tpbpa,Calb1,Mecom,Gm42418,Plet1,Alcam,Slc23a1,9530059O14Rik,Slc25a48,Naip5,Afp,Dgkh,Padi1,Nrk,Kcnq1ot1,Col4a2,Hdc,Peg3
Blood,Macrophage,8,,Ptprc,Lilrb4a,Lilr4b,Fyb,Stab1,Dock10,Cyth4,Pld4,Cd84,Slfn4,Lyz2,Mrc1,Zeb2,Apoe,Cd300lf,Dab2,Rgs1,Apobec1,Msr1,Prkcd,Dock2,Mafb,Ms4a7,F13a1,Inpp5d,F630028O10Rik
Blood,Neutrophil,30,,Gm42418,Il1b,Tpbpa,AY036118,Csf3r,Afp,Cts3,Lars2,Prl8a9,S100a9,Col4a1,Gzmf,Hbb-y,Prap1,Sparc,Lamb1,Prl2c5,Trim30b,Nid1,Sct,Lama1,Retnlg,Acod1,Prl3b1,Apob,Flt1
Blood,NKCell,12,,Runx3,Irf8,Adam8,Kif13b,Txk,Nabp1,Wnk1,Gm26917,Id2,Rgs1,Dnajc1,Myo10,Gzmg,Prf1,Raph1,Ptp4a3,Cblb,Cd55,Atp8b4,Traf1,Fyb,Gpr141,Dock10,Gzmd,Sema6d,Psd4
Blood,TCell,26,D,Cd226,Gm42418,Itga2b,Treml2,Clec1b,Tpbpa,Col4a1,Thbs1,Btk,AI504432,Alox12,Slc6a4,mt-Co1,Prl7a2,Rasgrp2,mt-Co3,Fermt3,Tbxas1,P2rx1,Prap1,Itga6,Apoa1,Afp,P2ry1,Rgs18,Hbb-y
DecidualStroma,DecidualStroma,1,A,Malat1,Usp53,Neat1,Hand2os1,Cd2ap,Luc7l2,Xist,Rsrp1,Pbx1,Runx1,Pim1,Abcc5,Sorbs2,Vmp1,Ddx5,Slco5a1,Cyp11a1,Srrm2,Tnfaip2,Clec2d,Dtna,Ugcg,Tmem150a,Txnip,Tshz2,Syne2
DecidualStroma,DecidualStroma,3,A,Samhd1,Rsrp1,Lbp,Cd2ap,Gatm,Tacc1,Pbx1,Tnfaip2,Adamtsl5,Usp53,Malat1,Col3a1,Errfi1,Adgrg2,Aebp1,Xist,Ccdc141,Lama4,Ctla2a,Pi15,Postn,Zeb2,Creb5,Olr1,Tsix,Col5a2
